id,order_sn,ad_id,status,order_sub_status_name,order_time,click_event_time,commission,new_customer,channel_tag,order_source,total_cost,fds_black_order,order_quality,created_at,updated_at,is_callback,callback_time,click_id
67833,25042936934073,NULL,1,已付款,2025/4/29 12:44,1745892169478,0.55,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745892169478,app-ios,7.82,0,待定,2025/4/29 12:44,2025/4/30 0:45,0,NULL,
68582,25042948678133,NULL,1,已付款,2025/4/29 16:05,1745890356762,25.83,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745890356762,app-ios,369,0,待定,2025/4/29 16:05,2025/4/30 0:57,0,NULL,
68630,25042934257514,NULL,0,已失效,2025/4/29 16:20,1745891897749,6.03,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,287,0,待定,2025/4/29 16:20,2025/4/30 0:57,0,NULL,
68639,25042949059733,NULL,0,已失效,2025/4/29 16:20,1745891897749,3.95,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,79,0,待定,2025/4/29 16:20,2025/4/30 0:57,0,NULL,
68641,25042949059633,NULL,0,已失效,2025/4/29 16:20,1745891897749,0.79,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,79,0,待定,2025/4/29 16:20,2025/4/30 0:57,0,NULL,
68642,25042934356943,NULL,0,已失效,2025/4/29 16:20,1745891897749,1.29,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,129,0,待定,2025/4/29 16:20,2025/4/30 0:57,0,NULL,
69089,25042987046574,NULL,0,已失效,2025/4/29 16:57,1745891897749,4.74,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,158,0,待定,2025/4/29 16:57,2025/4/30 0:57,0,NULL,
69097,25042942247323,NULL,1,已付款,2025/4/29 16:58,1745891897749,0.79,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,79,0,待定,2025/4/29 16:58,2025/4/30 0:57,0,NULL,
69098,25042942247223,NULL,1,已付款,2025/4/29 16:58,1745891897749,3.95,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891897749,app-ios,79,0,待定,2025/4/29 16:58,2025/4/30 0:57,0,NULL,
70534,25042941739133,NULL,1,已付款,2025/4/29 20:19,1745890356762,13.37,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745890356762,app-ios,191,0,待定,2025/4/29 20:19,2025/4/30 0:45,0,NULL,
70614,25042976930564,NULL,1,已付款,2025/4/29 20:30,1745910241438,4.75,2,dd391ccef6b13960d42d394c8934fc97-~1745910241438,app-android,67.8,0,待定,2025/4/29 20:30,2025/4/30 0:45,0,NULL,
70774,25042939881623,"231561881	",1,已付款,2025/4/29 20:51,1745890356762,6.72,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745890356762,app-ios,96,0,待定,2025/4/29 20:51,2025/4/30 0:45,0,NULL,
71801,25042998909407,231576604,1,已付款,2025/4/29 22:55,1745937963140,0.01,2,dd391ccef6b13960d42d394c8934fc97-~1745937963140-~231576604,app-android,1,0,待定,2025/4/29 22:56,2025/4/30 0:45,0,NULL,
72794,25043003394159,NULL,1,已付款,2025/4/30 7:52,1745891587146,0.71,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891587146,app-ios,23.82,0,待定,2025/4/30 7:52,2025/4/30 23:55,0,NULL,
72859,25043089476029,231576604,1,已付款,2025/4/30 8:15,1745943989846,0,2,dd391ccef6b13960d42d394c8934fc97-~1745943989846-~231576604,app-android,1.74,1,/,2025/4/30 8:15,2025/4/30 23:55,0,NULL,
72920,25043089230329,NULL,1,已付款,2025/4/30 8:28,1745891042571,1.4,2,17d4ce1e68247e20b48538fc3d6e70f9-~1745891042571,app-ios,46.66,0,待定,2025/4/30 8:28,2025/4/30 23:55,0,NULL,
73513,25043099489429,231576604,0,已失效,2025/4/30 10:05,1745973537512,2.62,2,dd391ccef6b13960d42d394c8934fc97-~1745973537512-~231576604,app-android,261.99,0,待定,2025/4/30 10:05,2025/4/30 23:55,1,2025/4/30 19:38,
73522,25043012736759,231576604,0,已失效,2025/4/30 10:06,1745973537512,2.29,2,dd391ccef6b13960d42d394c8934fc97-~1745973537512-~231576604,app-android,228.65,0,待定,2025/4/30 10:07,2025/4/30 23:55,1,2025/4/30 19:38,
73643,25043090901639,231576604,0,已失效,2025/4/30 10:24,1745973537512,3.86,2,dd391ccef6b13960d42d394c8934fc97-~1745973537512-~231576604,app-android,386,0,待定,2025/4/30 10:24,2025/4/30 23:55,1,2025/4/30 19:38,
73919,25043017391560,231576604,1,已付款,2025/4/30 10:50,1745981002512,2.25,2,dd391ccef6b13960d42d394c8934fc97-~1745981002512-~231576604,app-android,75,0,待定,2025/4/30 10:51,2025/4/30 23:55,1,2025/4/30 19:38,
74173,25043002268140,231576604,0,已失效,2025/4/30 11:10,1745980022617,6.66,2,dd391ccef6b13960d42d394c8934fc97-~1745980022617-~231576604,app-android,79,0,待定,2025/4/30 11:10,2025/4/30 23:55,1,2025/4/30 19:38,
74479,25043009730059,231576604,1,已付款,2025/4/30 11:40,1745964120518,1.43,2,dd391ccef6b13960d42d394c8934fc97-~1745964120518-~231576604,app-android,47.74,0,待定,2025/4/30 11:40,2025/4/30 23:55,1,2025/4/30 19:38,
75463,25043017850559,231576604,1,已付款,2025/4/30 15:01,1745994764750,0.61,2,dd391ccef6b13960d42d394c8934fc97-~1745994764750-~231576604,app-android,4.08,0,待定,2025/4/30 15:01,2025/4/30 23:55,1,2025/4/30 21:19,
75522,25043088398685,231576604,1,已付款,2025/4/30 15:12,1745996773438,4,2,dd391ccef6b13960d42d394c8934fc97-~1745996773438-~231576604,app-android,182,0,待定,2025/4/30 15:12,2025/4/30 23:55,1,2025/4/30 19:36,
75636,25043075618202,231576604,1,已付款,2025/4/30 15:27,1745992370908,0,2,dd391ccef6b13960d42d394c8934fc97-~1745992370908-~231576604,app-android,630.56,1,/,2025/4/30 15:27,2025/4/30 23:55,0,NULL,
75690,25043087933485,231576604,1,已付款,2025/4/30 15:32,1745976208096,14.59,2,dd391ccef6b13960d42d394c8934fc97-~1745976208096-~231576604,app-android,167.68,0,待定,2025/4/30 15:32,2025/4/30 23:55,1,2025/4/30 19:38,
76757,25043024655370,231576604,1,已付款,2025/4/30 17:53,1745988128661,0,2,dd391ccef6b13960d42d394c8934fc97-~1745988128661-~231576604,app-android,109,1,/,2025/4/30 17:53,2025/4/30 23:55,0,NULL,
76918,25043072876019,231576604,1,已下单,2025/4/30 18:17,1745983434799,5.74,2,dd391ccef6b13960d42d394c8934fc97-~1745983434799-~231576604,app-android,82,0,待定,2025/4/30 18:17,2025/4/30 23:55,1,2025/4/30 20:09,
77225,25043099679729,231576604,1,已付款,2025/4/30 18:52,1746010217285,0.3,2,dd391ccef6b13960d42d394c8934fc97-~1746010217285-~231576604,app-android,3.66,0,待定,2025/4/30 18:52,2025/4/30 23:55,1,2025/4/30 20:09,
77964,25043016664240,231576604,1,已下单,2025/4/30 19:56,1745966803074,4.97,2,dd391ccef6b13960d42d394c8934fc97-~1745966803074-~231576604,app-android,71,0,待定,2025/4/30 19:57,2025/4/30 23:55,1,2025/4/30 20:13,
78240,25043082558102,231576604,1,已付款,2025/4/30 20:20,1745980582135,16.2,2,dd391ccef6b13960d42d394c8934fc97-~1745980582135-~231576604,app-android,135.01,0,待定,2025/4/30 20:20,2025/4/30 23:55,1,2025/4/30 20:37,
79097,25043067661519,231576604,1,已付款,2025/4/30 21:49,1745963887407,6.77,2,dd391ccef6b13960d42d394c8934fc97-~1745963887407-~231576604,app-android,96.7,0,待定,2025/4/30 21:52,2025/4/30 23:55,1,2025/4/30 22:06,
79524,25043091702002,231576604,1,已付款,2025/4/30 22:41,1746023819065,1.28,2,dd391ccef6b13960d42d394c8934fc97-~1746023819065-~231576604,app-android,127.96,0,待定,2025/4/30 22:42,2025/4/30 23:55,1,2025/4/30 22:58,
80275,25050147750666,231576604,1,已付款,2025/5/1 1:45,1746034817959,13.35,2,dd391ccef6b13960d42d394c8934fc97-~1746034817959-~231576604,app-android,278,0,待定,2025/5/1 1:45,2025/5/1 23:55,1,2025/5/1 2:02,
80449,25050125681236,231576604,1,已付款,2025/5/1 6:37,1746018371227,2.2,2,dd391ccef6b13960d42d394c8934fc97-~1746018371227-~231576604,app-android,73.47,0,待定,2025/5/1 6:38,2025/5/1 23:55,1,2025/5/1 6:54,
80503,25050110665717,231576604,1,已付款,2025/5/1 7:00,1746053887935,12.04,2,dd391ccef6b13960d42d394c8934fc97-~1746053887935-~231576604,app-android,172,0,待定,2025/5/1 7:01,2025/5/1 23:55,1,2025/5/1 7:17,
80605,25050133440282,231576604,1,已付款,2025/5/1 7:24,1746055174453,8.2,2,dd391ccef6b13960d42d394c8934fc97-~1746055174453-~231576604,app-android,82,0,待定,2025/5/1 7:24,2025/5/1 23:55,1,2025/5/1 7:40,
81035,25050159391426,231576604,1,已付款,2025/5/1 9:24,1746010280174,0,2,dd391ccef6b13960d42d394c8934fc97-~1746010280174-~231576604,app-android,64,1,/,2025/5/1 9:24,2025/5/1 23:55,0,NULL,
81388,25050150940905,231576604,1,已付款,2025/5/1 10:50,1745973056621,3.69,2,dd391ccef6b13960d42d394c8934fc97-~1745973056621-~231576604,app-android,123,0,待定,2025/5/1 10:50,2025/5/1 23:55,1,2025/5/1 11:07,
81810,25050141051305,231576604,1,已付款,2025/5/1 12:40,1746031430614,17.92,2,dd391ccef6b13960d42d394c8934fc97-~1746031430614-~231576604,app-android,256,0,待定,2025/5/1 12:41,2025/5/1 23:55,1,2025/5/1 12:57,
81828,25050146952017,231576604,1,已付款,2025/5/1 12:45,1746058446694,0,2,dd391ccef6b13960d42d394c8934fc97-~1746058446694-~231576604,app-android,6.99,1,/,2025/5/1 12:45,2025/5/1 23:55,0,NULL,
